imports,2000,2012,
USA,23767,26056,
   Germany,13895,21816,
Japan,6908,7025,
   France,6520,6841,
   Italy,6315,8691,
   Spain,3768,5094,
   Belgium,3491,5668,
,,,
Canada,3321.066997,4444,
Africa,3189.247156,4965,
   United Kingdom,3012,4126,
,,,
,,,
